company_name,category,website,uses_ai_to,allows_researchers_to,founded,headquarters,city,state,country,latitude,longitude,count
Frontier Medicines,Generate novel drug candidates,https://frontiermeds.com/,Analyze chemoproteomics data to find temporary binding sites in human proteins and how to selectively target them with new drugs,"Accelerate development of medicines that drug ""undruggable"" protein targets",2018,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Gordian Biotechnology,Generate novel drug candidates,https://www.gordian.bio,"Provide the brains for a novel discovery platform. (Details are scarce. If anyone can provide them, please do.",Improve drug development for complex diseases of aging,2018,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Haystack Sciences,Generate novel drug candidates,https://www.haystacksciences.com,"Analyze large, diverse combinatorial chemical libraries encoded by unique DNA sequences (DNA-encoded libraries)",Discover new cures for dificult-to-treat disorders,2015,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Menten Biotechnology Labs,Generate novel drug candidates,http://menten.ai/,"Optimize activity, specificity, and stability of peptides, proteins, and enzymes","Create novel peptide therapeutics, proteins for drug delivery, and enzymes",2018,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Verge Genomics,Generate novel drug candidates,http://www.vergegenomics.com,"Map hundreds of genes that cause a disease, then find drugs that target all at once",Find cures for complex diseases—especialy brain diseases—that involve a network of genes,2015,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
X-37,Generate novel drug candidates,https://www.x37.ai/,Perform structure-based drug design and discovery (using AtomNet from Atomwise),Develop drugs for hard-to-target proteins with high therapeutic value,2019,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
uBiome,Generate novel drug candidates,http://ubiome.com,Analyze data from the world's largest database of microbiomes in the world,Develop new treatments inspired by novel insights into human-microbe relationships,2012,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Coral Genomics,Validate and optimize drug candidates,https://www.coralgenomics.com,Predict patient response to drugs from genomic data,"Predict patients unlikely to respond to novel drugs, discover new adjuvants, and discover new targets",2018,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
VERISIM Life,Validate and optimize drug candidates,http://verisimlife.com/,Predict pharmacology of potential new drug candidates through pharmacokinetic and pharmacodynamic modeling and simulation,Narrow the number of drug candidates that offer anticipated effects for specified diseases,2017,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
TeselaGen,Design drugs,http://www.teselagen.com/,Make and modify DNA,Prototype and edit recombinant molecules for vaccines and biologic medicines,2011,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Unlearn.ai,Optimize clinical trials,https://www.unlearn.health/,Simulate and generate digital control subjects that are statistically indistinguishable from actual controls,"Populate control arms in clinical trials, enabling rigorous clinical evidence with fewer subjects",2017,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Data4Cure,Aggregate and synthesize information,https://www.data4cure.com,"Infer and organize knowledge from thousands of genomic, phenotypic, and clinical datasets","Identify new targets and biomarkers, repurpose drugs, and identify disease pathways amenable to combination therapy",2013,"La Jolla, California, United States",La Jolla, California, United States,32.83259,-117.2716839,1
Dexstr,Aggregate and synthesize information,http://www.dexstr.io/,Glean insights from multiple data sources,"Accelerate research, improve regulatory compliance, and increase collaboration between teams and departments",2014,"Toulouse, Midi-Pyrenees, France",Toulouse, Midi-Pyrenees, France,43.3620584,1.4606727,1
Elucidata Corporation,Aggregate and synthesize information,http://www.elucidata.io/,Analyze complex biological datasets,Standardize and streamline analysis of -omics data from multiple sources,2015,"Delhi, Delhi, India",Delhi, Delhi, India,28.6517178,77.22193879999998,1
Evid Science,Aggregate and synthesize information,http://www.evidscience.com,Build a database of therapy evidence,Quickly answer any comparative cost and outcome question,2017,"El Segundo, California, United States",El Segundo, California, United States,33.917028,-118.4156337,1
Genialis,Aggregate and synthesize information,http://www.genialis.com,"Analyze multi-omics next-generation sequencing data for contextual, systems-level insights","Reveal previously unseen patterns across large, heterogeneous datasets to predict targets and biomarkers",2015,"Houston, Texas, United States",Houston, Texas, United States,29.7589382,-95.3676974,1
HelixAI,Aggregate and synthesize information,http://www.askhelix.io,Respond to verbal questions and requests in a lab setting,"Increase efficiency, improve lab safety, keep current on relevant new research, and manage inventory",2017,"Atlanta, Georgia, United States",Atlanta, Georgia, United States,33.749098700000005,-84.39018490000002,1
Innoplexus,Aggregate and synthesize information,http://www.innoplexus.com,Generate insights from billions of disparate data points from thousands of data sources,"Improve decision-making by seeing information in context from biomedical data sources including publications, clinical trials, congresses, and theses",2011,"Eschborn, Hessen, Germany",Eschborn, Hessen, Germany,50.1426423,8.5716274,1
Intellegens,Aggregate and synthesize information,http://intellegens.ai,Learn underlying correlations in fragmented datasets with incomplete information,"Estimate missing knowledge of how candidate drugs act on proteins, to aid design of new drug cocktails that activate proteins to cure disease",2017,"Cambridge, Cambridgeshire, United Kingdom",Cambridge, Cambridgeshire, United Kingdom,52.2034823,0.1235817,5
Linguamatics,Aggregate and synthesize information,http://www.linguamatics.com,Extract and analyze text,Answer a range of life science questions with natural language queries,2001,"Cambridge, Cambridgeshire, United Kingdom",Cambridge, Cambridgeshire, United Kingdom,52.2034823,0.1235817,5
Cambridge Cancer Genomics,Understand mechanisms of disease,http://ccg.ai,Predict cancer progression from tumor DNA in blood samples,"Determine treatment response and relapse earlier, and use Bayesian adaptive clinical trial design to increase the success of late stage trials",2016,"Cambridge, Cambridgeshire, United Kingdom",Cambridge, Cambridgeshire, United Kingdom,52.2034823,0.1235817,5
Healx,Repurpose existing drugs,http://healx.io/,Match existing drugs with rare diseases,Repurpose existing drugs to accelerate treatment of rare diseases,2014,"Cambridge, Cambridgeshire, United Kingdom",Cambridge, Cambridgeshire, United Kingdom,52.2034823,0.1235817,5
Nanna Therapeutics,Generate novel drug candidates,http://www.nannatherapeutics.com/,"Analyze data from its ""Totally Integrated Medicines Engine"" platform, which also leverages microfluidics and nanofabrication","Create drugs to treat age-related diseases and improve longevity, with a strong focus on mitochondria",2012,"Cambridge, Cambridgeshire, United Kingdom",Cambridge, Cambridgeshire, United Kingdom,52.2034823,0.1235817,5
InveniAI,Aggregate and synthesize information,https://inveniai.com/,Monitor millions of data points for signs of breakthrough events,Detect early signals of innovation,2017,"Guilford, Connecticut, United States",Guilford, Connecticut, United States,41.2889866,-72.68176159999999,2
AI Therapeutics,Generate novel drug candidates,https://www.ai-therapeutics.com,"Analyze data from next-gen sequencing, genome editing, chemical genomics, and combinational drug screening to find the most appropriate patients to treat with novel therapeutics",Develop precision therapeutics for cancer and rare diseases,2013,"Guilford, Connecticut, United States",Guilford, Connecticut, United States,41.2889866,-72.68176159999999,2
Iris.ai,Aggregate and synthesize information,http://iris.ai,"Establish and find the similarity of document ""fingerprints"" based on a combination of keyword extraction, word embeddings, neural topic modeling, and other natural language understanding techniques","Build reading lists faster, with more precision and interdisciplinary inspiration",2015,"Oslo, Oslo, Norway",Oslo, Oslo, Norway,59.9133301,10.7389701,1
Kyndi,Aggregate and synthesize information,http://www.kyndi.com/,"Analyze large amounts of data fast and provide explainable, auditable results","Understand and extract meaning from internal data sets, especially unstructured ones",2014,"San Mateo, California, United States",San Mateo, California, United States,37.496904,-122.33305729999998,1
LabTwin,Aggregate and synthesize information,https://www.labtwin.com/,Understand voice-based commands and transcribe voice-based notes,Take notes and organize lab documentation faster and with less effort,2018,"Berlin, Berlin, Germany",Berlin, Berlin, Germany,52.5034002,13.338637300000002,2
Biotx.ai,Establish biomarkers,http://www.biotx.ai,Reliably find complex patterns in high-dimensionality biomedical data,"Predict disease status, stratify patients, and provide decision support in drug development and precision medicine",2017,"Berlin, Berlin, Germany",Berlin, Berlin, Germany,52.5034002,13.338637300000002,2
LabVoice,Aggregate and synthesize information,https://www.labvoice.ai,Power voice-based interactions,"Use their voice to query lab equipment and software for information, as well as update records, take notes, and trigger actions",2018,"Durham, North Carolina, United States",Durham, North Carolina, United States,35.996653,-78.90180529999998,3
Cloud Pharmaceuticals,Generate novel drug candidates,http://cloudpharmaceuticals.com,"Search a virtual chemical space, predict binding affinity and allow filtering for drug-like properties, safety, and synthesizability",Speed drug development with a higher success rate and better targeting of hard-to-drug indications,2014,"Durham, North Carolina, United States",Durham, North Carolina, United States,35.996653,-78.90180529999998,3
Polaris Quantum Biotech,Generate novel drug candidates,https://www.polarisqb.com/,Optimize drug candidates identified through a quantum computing-driven search of large chemical datasets,"Produce novel drug ""blueprints.",2020,"Durham, North Carolina, United States",Durham, North Carolina, United States,35.996653,-78.90180529999998,3
Meta,Aggregate and synthesize information,http://meta.org,Analyze and organize biomedical research,Receive a personalized feed of the most relevant and important research as it's published,2010,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Phenomic AI,Understand mechanisms of disease,https://phenomic.ai/,Analyze cell and tissue phenotypes in microscopy data,Rapidly and accurately profile single cells in microscopy images,2017,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Structura Biotechnology,Understand mechanisms of disease,https://structura.bio,Enable high-throughput structure discovery of proteins and molecular complexes from cryo-EM data,"Discover and understand the detailed three-dimensional structure of important protein molecules, complexes, and drug targets",2016,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Deep Genomics,Generate novel drug candidates,http://www.deepgenomics.com/,"Search 69 billion molecules with the goal of generating a library of 1,000 compounds to manipulate cell biology",Unlock new classes of antisense oligonucleotide therapies,2014,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
ProteinQure,Generate novel drug candidates,https://www.proteinqure.com/,Design protein drugs through reinforcement learning,"Target a wider array of binding sites, target diseases with high specificity, and create compounds that are easier to synthesize and test",2017,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
NetraMark,Validate and optimize drug candidates,https://netramark.com,Understand how patient subpopulations respond to treatments,"Match drugs to patients, with the potential to extract information from failing or failed clinical trials and revive the prospects for at-risk drugs",2015,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Cyclica,Design drugs,http://www.cyclicarx.com,"Consider the polypharmacology, pharmacokinetics, and structural pharmacogenomics of molecules","Explain mechanisms of action, and de novo design or optimize multi-targeted drug-like molecules with preferred pharmacokinetic properties while minimizing off-target interactions",2013,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Fetch Biosciences,Design drugs,https://www.fetch.bio,Understand structure-to-function relationships underpinning existing biomolecules,Engineer novel biomolecules with optimized functions,2019,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
BenchSci,Design preclinical experiments,https://www.benchsci.com/,Decode open- and closed-access data on reagents such as antibodies and present published figures with actionable insights,"Reduce time, money, and uncertainty in planning experiments",2015,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
WinterLight Labs,Optimize clinical trials,http://www.winterlightlabs.com/,Assess and monitor cognitive health by analyzing a short speech sample,"Identify patients, screen patients, and evaluate response to therapy for clinical trials of mental health treatments",2015,"Toronto, Ontario, Canada",Toronto, Ontario, Canada,43.6534817,-79.38393470000003,10
Molecular Health,Aggregate and synthesize information,http://www.molecularhealth.com/,"Analyze molecular and clinical data of individual patients against the world’s medical, biological, and pharmacological knowledge","Improve prediction of drug response and resistance, design more successful trials, and use molecular evidence for market acceptance",2004,"Heidelberg, Baden-Wurttemberg, Germany",Heidelberg, Baden-Wurttemberg, Germany,49.40935820000001,8.694724,1
Mozi,Aggregate and synthesize information,https://mozi.ai/,Find patterns in biomedical data and infer hypotheses for investigation,"Upload datasets and have them analyzed in the context of global biomedical knowledge, leading to new diagnostic and treatment strategies, particularly for personalized medicine",2016,"Shenzhen, Guangdong, China",Shenzhen, Guangdong, China,22.555454,114.0543297,2
Xbiome,Generate novel drug candidates,https://xbiome.cn/,Analyze the gut microbiome,Modulate the microbiome to develop novel drugs,2017,"Shenzhen, Guangdong, China",Shenzhen, Guangdong, China,22.555454,114.0543297,2
Omicx,Aggregate and synthesize information,https://omictools.com,Map and decipher how data sources are connected,Find methodologies and experts in a specialist field,2013,"Rouen, Haute-Normandie, France",Rouen, Haute-Normandie, France,49.4404591,1.0939658,1
PatSnap,Aggregate and synthesize information,https://www.patsnap.com/,"Analyze over 114 million chemical structures, clinical trial information, regulatory details, toxicity data, and over 121 million patents and other sources",Validate chemical development projects,2007,"Singapore, Central Region, Singapore",Singapore, Central Region, Singapore,1.357107,103.8194992,3
Gero,Establish biomarkers,https://www.gero.ai/,Identify biomarkers of aging,Measure biological age and investigate interventions to treat aging,2012,"Singapore, Central Region, Singapore",Singapore, Central Region, Singapore,1.357107,103.8194992,3
HistoIndex,Establish biomarkers,http://www.histoindex.com/,Analyze and quantify nonalcoholic steatohepatitis (NASH) features for treatment efficacy,Improve the efficiency and effectiveness of NASH clinical trials,2010,"Singapore, Central Region, Singapore",Singapore, Central Region, Singapore,1.357107,103.8194992,3
Percayai,Aggregate and synthesize information,https://www.percayai.com,"Organize and prioritize data in a contextual manner, enabling interactive 3D diagrams illustrating biological information","Rapidly generate testable hypotheses from complex, omic, and multi-omic data sets",2019,"St Louis, Missouri, United States",St Louis, Missouri, United States,38.6268039,-90.1994097,1
Plex Research,Aggregate and synthesize information,https://www.plexresearch.com,Allow for intuitive searches on the world's biomedical research data,Find relevant results for drug discovery-related queries such as compounds for a specified target,2017,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
nference,Aggregate and synthesize information,http://nference.ai,"Extract knowledge in real-time from commercial, scientific, and regulatory literature","Identify competitive white space, eliminate blind spots in research, and discover disease similarities by phenotype for clinical trial design",2013,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
ReviveMed,Understand mechanisms of disease,http://revive-med.com,"Analyze metabolomic data along with other large-scale molecular information such as data from genes, proteins, drugs, and diseases","Find disease pathways, novel drug targets, new therapeutic effects for existing drugs, molecular mechanisms for pharmacological effects, and new biomarkers",2016,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Glympse Bio,Establish biomarkers,http://glympsebio.com/,Predict the stage and progression of disease by analyzing data from synthetic biomarker-based liquid biopsies,Validate drug-target engagement and determine responders and non-responders in clinical trials,2015,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Qrativ,Repurpose existing drugs,http://qrativ.bio/,Synthesize knowledge from multiple biomedical sources (using nference technology),Discover potential rare disease indications and subsets of patients who may respond favorably to an existing drug,2017,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Arbor Biotechnologies,Generate novel drug candidates,https://arbor.bio/,Curate and mine gene variants,Accelerate discovery of proteins for improving human health,2016,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Cellarity,Generate novel drug candidates,https://cellarity.com,Uncover and exploit unappreciated molecular and cellular behaviors by analyzing digital representations of biology and drug actions,Develop medicines by iteratively testing and curating new approaches to manipulate molecular and cellular behaviors,2017,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Celsius Therapeutics,Generate novel drug candidates,http://www.celsiustx.com,Analyze data from single-cell RNA sequencing,"Understand genes in specific cells that trigger disease, then develop precision treatments for those diseases along with companion biomarker-based diagnostic tools",2018,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Dyno Therapeutics,Generate novel drug candidates,https://www.dynotx.com,"Predict the function of sequences for adeno-associated virus capsids, which are used as vectors for gene therapy",Improve and expand the use of gene therapy by programming capsids with improved functions like precision delivery and immune system evasion,2018,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Neon Therapeutics,Generate novel drug candidates,https://neontherapeutics.com/,"Identify, predict, and select the most therapeutically relevant neoantigen (newly formed antigen not previously recognized by the immune system) targets associated with a patient’s tumor",Develop novel neoantigen-based therapeutics for cancer,2015,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Relay Therapeutics,Generate novel drug candidates,http://relaytx.com/,Understand protein motion—how protein shape influences health and disease,Design compounds that can target and stabilize proteins in a normal shape,2016,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
XtalPi,Validate and optimize drug candidates,http://www.xtalpi.com/,Predict the crystalized form a drug will take,"Understand the potential safety, stability, and efficacy of drug candidates",2014,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
GNS Healthcare,Design clinical trials,http://www.gnshealthcare.com,Transform diverse streams of biomedical and healthcare data into computer models representative of individual patients,"Deliver personalized medicine at scale, by revealing optimal health interventions for individual patients",2000,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
nQ Medical,Optimize clinical trials,http://www.nq-medical.com/,Find hidden health signals in data from personal devices such as laptops and smartphones,"Optimize clinical trials for neurological diseases, including through better, faster identification of ideal study participants, less in-clinic observation, improved compliance, and earlier measure of drug impact",2016,"Cambridge, Massachusetts, United States",Cambridge, Massachusetts, United States,42.3750997,-71.1056157,14
Quertle,Aggregate and synthesize information,http://quertle.com,Retrieve and visualize relevant results from multiple biomedical data sources,Gain a deeper understanding of a topic and avoid missing key information,2008,"Henderson, Nevada, United States",Henderson, Nevada, United States,36.0301134,-114.98261940000002,1
Researchably,Aggregate and synthesize information,https://researchably.com/,"Search and organize information in research papers, clinical trial listings, and patents",Save time searching for information while receiving more relevant and personalized results,2016,"Berkeley, California, United States",Berkeley, California, United States,37.8708393,-122.2728639,1
StoneWise,Aggregate and synthesize information,http://www.stonewise.cn,"Enable knowledge mining, molecule generation, and property prediction","Build knowledge graphs of scientific literature, predict molecular properties, design novel molecules, and perform retro-synthetic analysis",2018,"Haidian, Beijing, China",Haidian, Beijing, China,39.9580718,116.292405,1
